,Fascicle 1
208,"[320.4466180492859, 242.98973571378602, 0]"
209,"[318.6422058387498, 240.9075614574554, 0]"
210,"[316.9764664336853, 241.32399630872152, 0]"
211,"[315.0329649828263, 240.7688886519838, 0]"
212,"[312.39568306975787, 238.82538720112473, 0]"
213,"[311.70148617269723, 238.1311903040641, 0]"
214,"[309.2028770651005, 236.6045401393225, 0]"
215,"[307.39846485456434, 234.79971149393506, 0]"
216,"[303.6505511931692, 233.6894961804596, 0]"
217,"[301.290614891044, 234.1059310317257, 0]"
218,"[299.06976782924175, 234.24460383719733, 0]"
219,"[295.73828901911276, 236.04901604773346, 0]"
220,"[294.62765727078596, 237.43740984185473, 0]"
221,"[291.9903753577176, 239.3804948578625, 0]"
222,"[289.63043905559243, 240.49112660618925, 0]"
223,"[286.8540679022011, 241.74043115998765, 0]"
224,"[283.80035113786664, 242.15686601125375, 0]"
225,"[279.49732981973375, 242.5733008625199, 0]"
226,"[276.4431966205479, 242.01819320578215, 0]"
227,"[273.1117178104189, 241.87910396545925, 0]"
228,"[270.89087074861663, 241.46266911419312, 0]"
229,"[268.39226164101984, 240.62979941166085, 0]"
230,"[267.00428428174985, 239.7969297091286, 0]"
231,"[264.2279131283586, 238.82538720112473, 0]"
232,"[262.7008465287657, 237.15964779606023, 0]"
233,"[260.75776151275795, 235.4939083909957, 0]"
234,"[257.1485206568344, 235.07747353972957, 0]"
235,"[253.53927980091083, 234.66103868846346, 0]"
236,"[252.28997524711247, 233.55040694013667, 0]"
237,"[251.04067069331407, 230.63536298127377, 0]"
238,"[251.5961947849031, 228.83095077073764, 0]"
239,"[252.7064100983786, 226.748776514407, 0]"
240,"[254.3721495034431, 224.38884021228185, 0]"
241,"[255.7605432975644, 223.41729770427798, 0]"
242,"[257.9813903593666, 223.00086285301185, 0]"
243,"[260.0635646156973, 222.72310080721732, 0]"
244,"[262.14573887202795, 221.61288549374186, 0]"
245,"[264.9221100254192, 219.94714608867736, 0]"
246,"[266.17141457921764, 218.69784153487896, 0]"
247,"[267.55939193848764, 216.6156672785483, 0]"
248,"[267.8371539842821, 214.8108386331609, 0]"
249,"[267.97582678975374, 212.31222952556413, 0]"
250,"[267.420719133016, 210.2300552692335, 0]"
251,"[267.00428428174985, 207.8705354019596, 0]"
252,"[266.86519504142694, 205.23283705403995, 0]"
253,"[265.7549797279515, 204.12262174056443, 0]"
254,"[265.47721768215695, 201.62401263296766, 0]"
255,"[264.5056751741531, 199.40274913631416, 0]"
256,"[263.67280547162085, 198.29253382283864, 0]"
257,"[263.95015108256405, 195.9325975207135, 0]"
258,"[264.08924032288695, 193.7117504589112, 0]"
259,"[264.08924032288695, 190.65761725972544, 0]"
260,"[265.06078283089084, 188.43677019792318, 0]"
261,"[265.47721768215695, 186.07683389579805, 0]"
262,"[267.55939193848764, 183.85598683399576, 0]"
263,"[269.9193282406128, 180.52450802386673, 0]"
264,"[271.02954355408826, 178.1645717217416, 0]"
265,"[272.00150249694343, 176.36015951120544, 0]"
