,Fascicle
180,"[315.0835321955175, 487.2525238714407, 0]"
181,"[303.745574207103, 486.41267513155816, 0]"
182,"[291.8474371091869, 483.6126194327897, 0]"
183,"[282.88877060085974, 480.5337339523803, 0]"
184,"[273.09109520138986, 477.59426336279137, 0]"
185,"[266.0917958032087, 473.67468929375946, 0]"
186,"[260.0734397332103, 470.0356247038484, 0]"
187,"[255.17376218473552, 466.2563053743769, 0]"
188,"[253.2143950745895, 458.8370816062544, 0]"
189,"[256.7140447736801, 452.3988011663148, 0]"
190,"[259.5132606237086, 445.81942613807485, 0]"
191,"[263.9921739535023, 439.2408909585748, 0]"
192,"[269.73170024185964, 433.50220451895734, 0]"
193,"[275.6106414210375, 428.3228573401016, 0]"
194,"[280.36922438121206, 422.16424653054287, 0]"
195,"[286.94859940945196, 416.9848993516872, 0]"
196,"[290.3079943689822, 412.2254765427728, 0]"
197,"[292.96695547945035, 405.92661099365364, 0]"
198,"[293.3868798493916, 400.60784892397743, 0]"
199,"[289.74781525948055, 398.508227074271, 0]"
